Timestamp,What is your age group?,What is your level of familiarity with AI?,Do you use any AI-powered devices or applications daily?,In what areas do you use AI on a daily basis?,How much do you trust AI to make decisions in your daily life?,Do you think AI enhances your productivity in daily tasks?,Do you believe AI will play a significant role in shaping the future?,In which areas do you think AI will have the biggest impact in the future?,What benefits do you foresee with the advancement of AI? ,What concerns do you have regarding AI in the future?,Should there be regulations on the development and use of AI?,Do you think AI will improve or worsen human society in the long run?,What is your overall opinion on AI?,Would you be interested in learning more about AI and its applications in the future?
3/3/2025 18:02:15,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,Yes,Yes,Education,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Improve,Very positive,Yes
3/3/2025 18:02:25,18 - 24,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Not sure,Yes,Education,Better education and learning opportunities,Job loss and unemployment,"No, AI should be developed freely",Neither,Somewhat positive,Yes
3/3/2025 18:04:32,Under 18,Somewhat familiar,Yes,Chat gpt,Somewhat trust,Yes,Yes,Education,Better education and learning opportunities,Job loss and unemployment,"Yes, strict regulations",Improve,Somewhat positive,Yes
3/3/2025 18:06:45,18 - 24,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Completely trust,Yes,Yes,Business and finance,Better education and learning opportunities,,"Yes, strict regulations",Improve,Very positive,Yes
3/3/2025 18:15:12,18 - 24,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Completely trust,Yes,Yes,Entertainment,Increased convenience,Privacy issues,,Improve,Neutral,Yes
3/3/2025 18:16:32,Under 18,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,No,Business and finance,Increased convenience,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Neither,Somewhat positive,Yes
3/3/2025 18:16:55,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Yes,Education,Increased convenience,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Improve,Somewhat positive,Yes
3/3/2025 18:20:00,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,Notsure,Entertainment,More efficient work processes,Job loss and unemployment,"Yes, strict regulations",Worsen,Neutral,No
3/3/2025 18:20:28,18 - 24,Not familiar at all,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,Yes,Yes,Entertainment,Increased convenience,Job loss and unemployment,Unsure,Neither,Neutral,No
3/3/2025 18:21:34,18 - 24,Somewhat familiar,Yes,Online shopping recommendations,Somewhat trust,No,Notsure,Transportation,Better education and learning opportunities,Privacy issues,"Yes, but with moderate regulations",Worsen,Somewhat negative,Yes
3/3/2025 18:22:48,,,,,,,,,,,,,,
3/3/2025 18:27:56,18 - 24,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,No,Yes,Education,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Improve,Very positive,Yes
3/3/2025 18:31:06,18 - 24,Not familiar at all,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat distrust,No,No,Transportation,Improved healthcare,Privacy issues,"Yes, but with moderate regulations",Neither,Somewhat positive,Yes
3/3/2025 18:33:47,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Yes,Education,Improved healthcare,Job loss and unemployment,"Yes, strict regulations",Neither,Very positive,Yes
3/3/2025 18:40:50,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,No,Business and finance,Greater accessibility for people with disabilities,Privacy issues,"Yes, strict regulations",Unsure,Somewhat positive,Yes
3/3/2025 18:42:59,Under 18,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Completely trust,Yes,Yes,Transportation,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Neutral,Yes
3/3/2025 18:43:56,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,Yes,Entertainment,Improved healthcare,Job loss and unemployment,"Yes, but with moderate regulations",Neither,Somewhat positive,No
3/3/2025 18:54:58,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Yes,Health care,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Neither,Somewhat positive,Yes
3/3/2025 18:55:19,35 - 44,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,Yes,Education,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Unsure,Neutral,Yes
3/3/2025 18:56:47,18 - 24,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Yes,Yes,Health care,Increased convenience,Job loss and unemployment,"Yes, strict regulations",Improve,Somewhat positive,Yes
3/3/2025 18:58:00,Under 18,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,Yes,Yes,Education,Better education and learning opportunities,Job loss and unemployment,"No, AI should be developed freely",Improve,Somewhat positive,Yes
3/3/2025 18:58:57,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,Yes,Education,More efficient work processes,Privacy issues,"Yes, strict regulations",Improve,Somewhat positive,Yes
3/3/2025 19:04:24,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",,Yes,Yes,Business and finance,Greater accessibility for people with disabilities,Privacy issues,"Yes, strict regulations",Improve,Very positive,Yes
3/3/2025 19:04:36,,,,,,,,,,,,,,
3/3/2025 19:05:01,18 - 24,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,Yes,Notsure,Education,Better education and learning opportunities,Job loss and unemployment,"Yes, strict regulations",Improve,Somewhat positive,Yes
3/3/2025 19:08:22,18 - 24,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,Yes,Yes,Health care,More efficient work processes,Job loss and unemployment,Unsure,Worsen,Neutral,Yes
3/3/2025 19:08:27,18 - 24,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,Yes,Yes,Education,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, strict regulations",Neither,Neutral,No
3/3/2025 19:10:09,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,Yes,Yes,Health care,Improved healthcare,Job loss and unemployment,"Yes, strict regulations",Improve,Very positive,No
3/3/2025 19:13:35,35 - 44,Somewhat familiar,Yes,Education ,Somewhat trust,Yes,Yes,All the above ,All the above ,"Security risks (e.g., AI hacking)","Yes, strict regulations",Unsure,Somewhat positive,Yes
3/3/2025 19:18:03,45 - 54,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,Yes,Entertainment,More efficient work processes,AI becoming too autonomous,Unsure,Improve,Neutral,Yes
3/3/2025 19:21:17,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,No,Notsure,Education,Better education and learning opportunities,"Security risks (e.g., AI hacking)",Unsure,Neither,Neutral,Yes
3/3/2025 19:23:08,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,Yes,Notsure,Business and finance,Greater accessibility for people with disabilities,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Worsen,Somewhat positive,Yes
3/3/2025 19:23:11,Under 18,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Not sure,Yes,Education,Increased convenience,Job loss and unemployment,"Yes, strict regulations",Improve,Somewhat positive,Yes
3/3/2025 19:23:26,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,Yes,I think in many of the things ,More efficient work processes,Job loss and unemployment,"Yes, strict regulations",Unsure,Neutral,Yes
3/3/2025 19:27:04,18 - 24,Ball Lavadika Ball,Yes,All,Completely distrust,No,Yes,IT Companies,²,Job loss and unemployment,,Unsure,Very negative,No
3/3/2025 19:32:23,Under 18,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Not sure,Notsure,Education,More efficient work processes,Job loss and unemployment,"Yes, but with moderate regulations",Improve,Somewhat positive,Yes
3/3/2025 19:35:12,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Yes,Health care,Improved healthcare,Job loss and unemployment,"Yes, but with moderate regulations",Improve,Somewhat positive,Yes
3/3/2025 19:36:00,25 - 34,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Yes,Education,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Unsure,Somewhat positive,Yes
3/3/2025 19:36:02,Under 18,Very familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,Notsure,Transportation,Better education and learning opportunities,,"Yes, but with moderate regulations",Improve,Neutral,Yes
3/3/2025 19:36:34,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,Not sure,Notsure,Business and finance,More efficient work processes,All,"No, AI should be developed freely",Neither,Very negative,No
3/3/2025 19:41:50,18 - 24,Somewhat familiar,Yes,Chat gpt,Somewhat trust,Yes,Yes,Health care,Improved healthcare,Privacy issues,"Yes, strict regulations",Improve,Somewhat positive,Yes
3/3/2025 19:58:34,18 - 24,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Neutral,Yes,Yes,Education,Better education and learning opportunities,Privacy issues,"Yes, but with moderate regulations",Unsure,Somewhat positive,Yes
3/3/2025 20:08:15,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Not sure,Yes,Health care,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Improve,Somewhat positive,Yes
3/3/2025 20:09:18,Under 18,Very familiar,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Yes,Yes,Education,Improved healthcare,AI becoming too autonomous,"Yes, strict regulations",Improve,Somewhat positive,Yes
3/3/2025 20:13:21,18 - 24,Somewhat familiar,Yes,Studying ,Neutral,Yes,Yes,Education,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Unsure,Somewhat positive,Yes
3/3/2025 20:13:51,18 - 24,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,No,Yes,Education,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, strict regulations",Worsen,Very negative,Yes
3/3/2025 20:15:40,18 - 24,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Completely distrust,Yes,Yes,Business and finance,Greater accessibility for people with disabilities,AI becoming too autonomous,"Yes, strict regulations",Worsen,Neutral,Yes
3/3/2025 20:16:14,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,No,Notsure,Health care,More efficient work processes,AI becoming too autonomous,"Yes, but with moderate regulations",Unsure,Somewhat positive,Yes
3/3/2025 20:16:37,18 - 24,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Yes,No,Education,Improved healthcare,Job loss and unemployment,"Yes, but with moderate regulations",Unsure,Neutral,Yes
3/3/2025 20:17:05,18 - 24,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Yes,Yes,Education,More efficient work processes,Job loss and unemployment,"Yes, but with moderate regulations",Improve,Somewhat positive,Yes
3/3/2025 20:17:27,18 - 24,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,Yes,Yes,Education,Increased convenience,Job loss and unemployment,"Yes, but with moderate regulations",Worsen,Neutral,Yes
3/3/2025 20:18:13,18 - 24,Not familiar at all,No,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,Yes,Yes,Health care,Increased convenience,"Security risks (e.g., AI hacking)","Yes, strict regulations",Unsure,Somewhat positive,Yes
3/3/2025 20:18:15,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,Yes,,Education,Greater accessibility for people with disabilities,Job loss and unemployment,"Yes, but with moderate regulations",Improve,Somewhat positive,Yes
3/3/2025 20:18:48,18 - 24,Very familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,Not sure,No,Health care,Greater accessibility for people with disabilities,AI becoming too autonomous,"Yes, strict regulations",Worsen,Somewhat negative,No
3/3/2025 20:18:54,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,Yes,Education,More efficient work processes,Privacy issues,"Yes, but with moderate regulations",,,Yes
3/3/2025 20:19:00,18 - 24,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,Yes,Yes,Health care,Increased convenience,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Unsure,Somewhat positive,Yes
3/3/2025 20:21:03,18 - 24,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Yes,Yes,Education,Greater accessibility for people with disabilities,AI becoming too autonomous,"Yes, strict regulations",Worsen,Somewhat positive,Yes
3/3/2025 20:21:39,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,Yes,Entertainment,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Neither,Somewhat positive,Yes
3/3/2025 20:21:58,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Yes,Health care,Increased convenience,Job loss and unemployment,"Yes, strict regulations",Improve,Very positive,Yes
3/3/2025 20:23:52,18 - 24,Very familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,Notsure,Education,Better education and learning opportunities,Job loss and unemployment,"No, AI should be developed freely",Neither,Neutral,No
3/3/2025 20:24:25,18 - 24,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Completely distrust,Yes,No,Education,Better education and learning opportunities,Job loss and unemployment,"Yes, but with moderate regulations",Neither,Neutral,Yes
3/3/2025 20:25:34,18 - 24,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,Yes,Yes,Education,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Unsure,Somewhat positive,Yes
3/3/2025 20:25:47,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,Yes,Education,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Improve,Somewhat positive,Yes
3/3/2025 20:26:14,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Notsure,Business and finance,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Neither,Somewhat positive,No
3/3/2025 20:26:32,18 - 24,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,Yes,Yes,Health care,Better education and learning opportunities,AI becoming too autonomous,"Yes, but with moderate regulations",Unsure,Neutral,Yes
3/3/2025 20:28:00,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,Notsure,Education,More efficient work processes,Job loss and unemployment,"Yes, strict regulations",Worsen,Somewhat positive,Yes
3/3/2025 20:32:16,18 - 24,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Yes,Education,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Neither,Somewhat positive,Yes
3/3/2025 20:33:51,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,Notsure,Entertainment,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Unsure,Somewhat positive,Yes
3/3/2025 20:42:57,25 - 34,Not familiar at all,No,I am not using AI on daily basis,Neutral,Yes,No,Entertainment,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Worsen,Somewhat negative,No
3/3/2025 20:44:04,Under 18,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,Yes,Education,Greater accessibility for people with disabilities,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Neither,Somewhat positive,Yes
3/3/2025 20:47:09,18 - 24,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Completely trust,Yes,Yes,Health care,Improved healthcare,Privacy issues,"Yes, strict regulations",Improve,Very positive,Yes
3/3/2025 20:47:42,25 - 34,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Not sure,Yes,Education,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Improve,Neutral,
3/3/2025 20:48:26,18 - 24,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Yes,Yes,Education,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Improve,Very positive,Yes
3/3/2025 20:48:55,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,Yes,Education,Better education and learning opportunities,Privacy issues,"Yes, strict regulations",Worsen,Neutral,Yes
3/3/2025 20:48:55,35 - 44,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat distrust,No,No,Business and finance,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, strict regulations",Worsen,Very negative,Yes
3/3/2025 20:51:26,18 - 24,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Not sure,Notsure,Computer programs and other computer applications ,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Neither,Somewhat positive,Yes
3/3/2025 20:57:40,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Not sure,Notsure,Education,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Unsure,Neutral,Yes
3/3/2025 20:58:42,,,,,,,,,,,,,,
3/3/2025 21:00:23,18 - 24,Not familiar at all,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,Yes,Yes,Transportation,Better education and learning opportunities,AI becoming too autonomous,"Yes, but with moderate regulations",Worsen,Neutral,No
3/3/2025 21:05:24,18 - 24,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Yes,Yes,Business and finance,More efficient work processes,Job loss and unemployment,"No, AI should be developed freely",Improve,Very positive,No
3/3/2025 21:08:31,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,Yes,Education,More efficient work processes,AI becoming too autonomous,"Yes, strict regulations",Neither,Neutral,Yes
3/3/2025 21:09:53,Under 18,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,Yes,Education,Better education and learning opportunities,AI becoming too autonomous,Unsure,Neither,Somewhat positive,Yes
3/3/2025 21:10:20,18 - 24,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Neutral,Not sure,Notsure,Education,Better education and learning opportunities,Job loss and unemployment,"Yes, but with moderate regulations",Worsen,Somewhat positive,Yes
3/3/2025 21:10:44,18 - 24,Somewhat familiar,Yes,Chat gpt ,Somewhat trust,Yes,Yes,Health care,Increased convenience,Job loss and unemployment,"Yes, strict regulations",Unsure,Somewhat positive,Yes
3/3/2025 21:22:12,45 - 54,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,Yes,No,Education,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Improve,Somewhat positive,Yes
3/3/2025 21:23:54,45 - 54,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,Yes,Education,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Improve,Very positive,No
3/3/2025 21:37:15,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Yes,Education,Increased convenience,"Security risks (e.g., AI hacking)","Yes, strict regulations",Improve,Somewhat positive,Yes
3/3/2025 21:38:46,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Not sure,Yes,Education,Better education and learning opportunities,Job loss and unemployment,"Yes, but with moderate regulations",Improve,Neutral,Yes
3/3/2025 21:41:16,18 - 24,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Yes,Yes,Health care,More efficient work processes,Job loss and unemployment,"Yes, strict regulations",Neither,Somewhat positive,Yes
3/3/2025 21:43:21,18 - 24,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,Yes,Yes,Health care,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Worsen,Neutral,Yes
3/3/2025 21:46:13,18 - 24,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,Yes,Yes,Business and finance,More efficient work processes,Job loss and unemployment,"Yes, but with moderate regulations",Unsure,Very positive,Yes
3/3/2025 21:46:20,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Yes,Education,Improved healthcare,Job loss and unemployment,"Yes, but with moderate regulations",Improve,Neutral,Yes
3/3/2025 21:49:15,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,Yes,Business and finance,Improved healthcare,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Neither,Somewhat positive,Yes
3/3/2025 21:51:06,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,No,Notsure,Education,More efficient work processes,Job loss and unemployment,"Yes, but with moderate regulations",Worsen,Neutral,Yes
3/3/2025 21:56:18,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,Yes,Education,Increased convenience,"Security risks (e.g., AI hacking)","Yes, strict regulations",Improve,Somewhat positive,Yes
3/3/2025 21:57:28,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,No,Education,More efficient work processes,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Worsen,Somewhat negative,Yes
3/3/2025 21:58:45,18 - 24,Very familiar,No,"Voice assistants (e.g., Siri, Alexa)",Neutral,Yes,Yes,Education,Better education and learning opportunities,Privacy issues,"Yes, but with moderate regulations",Neither,Neutral,No
3/3/2025 22:00:58,Under 18,Somewhat familiar,Yes,Maximum in all stuffs ,Somewhat trust,Yes,Yes,Education,More efficient work processes,Job loss and unemployment,"Yes, but with moderate regulations",Neither,Somewhat positive,Yes
3/3/2025 22:02:29,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Notsure,Entertainment,Increased convenience,AI becoming too autonomous,"Yes, strict regulations",Worsen,Somewhat positive,Yes
3/3/2025 22:04:59,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,Yes,Notsure,Education,Increased convenience,"Security risks (e.g., AI hacking)","Yes, strict regulations",Worsen,Neutral,Yes
3/3/2025 22:06:18,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Not sure,Yes,Education,Greater accessibility for people with disabilities,Job loss and unemployment,"Yes, but with moderate regulations",Improve,Somewhat positive,Yes
